nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
0,0.0,3,0.0365996015205779,3326944.44444444,63215039.7196466,67167692.0270893,69682294.2750021,72506178.76427141,74657111.7793132,77663792.16887191,81024913.4786254,82845883.21470991,0.1
2,0.0,1,0.0395698647778493,25605000.0,521960095.87159103,530338374.28923094,545230008.2762849,558988974.194226,561759631.553486,566236523.719015,573279191.662812,579824691.012632,0.1
3,0.0,2,0.06488524386555,35988888.888888896,439479331.03579503,452228740.34275705,457984660.149843,469293173.426525,489078721.42064404,508539017.60261506,527124181.33500403,547509217.288968,0.1
4,0.0,4,0.0609908772749885,19716944.444444396,294098626.493388,304286819.264908,306304595.540728,313746111.824518,335788785.39974,359200526.904964,377537436.779579,394882826.98243797,0.1
1,0.0,0,0.0413336227316051,142320.0,4744000.0,4895908.92269188,5006768.22824266,5080297.35947533,5153826.490708,5248848.75260866,5368757.79738809,5495454.14658899,0.1
5,0.0,43,0.0413336227316051,0.0,5587308.21608082,5766220.94339039,5896786.94413509,5983386.84116287,6069986.73819066,6181900.45471106,6323124.905180301,6472343.19014929,0.1
6,0.0,44,0.0413336227316051,0.0,5268912.3451522,5437629.6310383,5560755.25550286,5642420.20916075,5724085.16281864,5829621.41386509,5962798.11035968,6103513.10824234,0.1
7,0.0,45,0.0413336227316051,0.0,8110959.02469261,8370682.26602506,8560221.74391001,8685936.70166253,8811651.65941506,8974114.07134814,9179126.16066585,9395742.70450266,0.1
8,0.0,46,0.0413336227316051,0.0,131305.21025068042,136221.38869647367,139848.2278315239,142302.55271607314,144756.8776006224,147756.1436533988,151537.0858235072,155531.21233506763,0.1
9,0.0,47,0.0413336227316051,0.0,517262.3035678389,536246.217948045,550254.372171302,559737.612244738,569220.8523181742,580796.6628801539,595389.0826836698,610804.2138894084,0.1
10,0.0,48,0.0413336227316051,0.0,398117.14037741325,413071.91630999435,424104.1951845435,431569.3884519336,439034.58171932487,448158.9588356712,459661.39287235145,471812.3877224648,0.1
11,0.0,49,0.0413336227316051,0.0,833232.7075223072,863653.4828716924,886102.1461447973,901301.0382070586,916499.9302693177,935047.0767121214,958427.4036550352,983125.8703993291,0.1
12,0.0,50,0.0413336227316051,0.0,1314085.9216612102,1366149.470573879,1404535.804663068,1430484.1954163967,1456432.5861697155,1488239.7644012154,1528338.9043297353,1570699.4877826753,0.1
13,0.0,51,0.0413336227316051,0.0,614260.6084565963,637172.5926669344,654076.2639636412,665516.0263777083,676955.7887917754,690932.6154238955,708552.0477463207,727164.917731787,0.1
